Model,RMSE_Test,MAE_Test,R2_Test
Ridge,36.4647678803855,29.511020588229876,0.23000596190332245
XGBoost,79.8165499168249,69.6897964477539,-2.68915057182312
MLP,85.67822820916933,69.67755126953125,-3.2509050369262695
